[4####]
9 8 0   145.0  145.0
 2312999.4330002.790E-071 8.091E-02.06880.08821762.28800.740.000000                                                el  29      136650314210 9 8 0    59.0   59.0
 2212999.4330002.070E-042 1.012E-09.06830.087 4721.58400.750.000000                                                el  31      136650314210 9 8 0   126.0  126.0
 2212999.4330009.460E-045 5.933E-08.06470.071 6776.61400.720.000000                                                el  53      135540314210 9 8 0   214.0  214.0
 2112999.4340001.050E-071 6.518E-04.06420.07122388.15000.710.000000                                                el  54      135540314210 9 8 0   109.0  109.0
 2112999.4340008.300E-051 2.231E-05.07090.09511612.46500.710.000000                                                el  22      136650314210 9 8 0    45.0   45.0
 2112999.4340002.670E-041 2.162E-10.05870.066 4965.82600.670.000000                                                el  69      135540314210 9 8 0   139.0  139.0
 2212999.4340002.100E-067 3.684E-05.06040.06818862.77300.690.000000                                                el  62      135540314210 9 8 0   250.0  250.0
 2212999.4340001.110E-046 1.098E-05.06750.083 8680.76200.760.000000                                                el  35      136650314210 9 8 0   142.0  142.0
 2212999.4340001.150E-042 7.501E-07.08490.116 5801.68500.670.000000                                                el   4      136650314210 9 8 0    18.0   18.0
 2412999.4340001.160E-046 1.026E-05.06880.088 7914.12800.740.000000                                                el  29      136650314210 9 8 0   354.0  354.0
 2412999.4340001.920E-064 7.534E-04.05980.06717382.00200.680.000000                                                el  64      135540314210 9 8 0   774.0  774.0
 2412999.4340003.120E-039 2.480E-10.07420.101 2075.38400.680.000000                                                el  15      136650314210 9 8 0   186.0  186.0
 2212999.4350002.640E-039 7.892E-13.08490.116 1377.85600.670.000000                                                el   4      136650314210 9 8 0    18.0   18.0
 2112999.4350005.140E-061 1.067E-04.05380.06017115.27400.680.000000                                                el 120      134440314210 9 8 0   241.0  241.0
 2412999.4350005.550E-044 2.479E-09.06960.091 4909.39300.730.000000                                                el  26      136650314210 9 8 0   318.0  318.0
 2312999.4360003.320E-041 4.331E-11.06010.068 3281.26800.680.000000                                                el  63      135540314210 9 8 0   127.0  127.0
 2112999.4360002.130E-062 3.792E-05.05340.05917565.76200.680.000000                                                el 125      134440314210 9 8 0   251.0  251.0
 2112999.4360001.590E-046 5.747E-08.05950.067 8577.34000.680.000000                                                el  65      135540314210 9 8 0   131.0  131.0
 2312999.4370004.810E-047 1.205E-06.06380.070 8124.84800.710.000000                                                el  55      135540314210 9 8 0   111.0  111.0
 2312999.4380004.880E-046 7.149E-08.06660.079 7007.25000.750.000000                                                el  41      136550314210 9 8 0    83.0   83.0
 2112999.4380003.800E-070 2.671E-04.06650.07821415.16300.750.000000                                                el  42      136550314210 9 8 0    85.0   85.0
 2112999.4390008.870E-046 9.367E-06.06620.076 9196.64400.740.000000                                                el  45      135550314210 9 8 0    91.0   91.0
 2112999.4390006.430E-064 6.376E-05.05480.06118362.81500.660.000000                                                el 108      134440314210 9 8 0   217.0  217.0
 2412999.4400005.790E-053 7.750E-05.05950.06711479.47100.680.000000                                                el  65      135540314210 9 8 0   786.0  786.0
 2312999.4400001.790E-056 5.550E-04.06660.07913793.32200.750.000000                                                el  41      136550314210 9 8 0    83.0   83.0
 2312999.4410003.880E-042 1.704E-10.06700.081 3901.70200.760.000000                                                el  38      136650314210 9 8 0    77.0   77.0
 2112999.4410001.780E-043 3.101E-12.06930.090 4932.73200.740.000000                                                el  27      136650314210 9 8 0    55.0   55.0
 2112999.4420001.500E-048 2.267E-05.06560.07310712.93300.730.000000                                                el  50      135550314210 9 8 0   101.0  101.0
 2312999.4420002.900E-037 8.440E-13.06730.083  490.21100.760.000000                                                el  36      136650314210 9 8 0    73.0   73.0
 2112999.4420009.700E-048 7.553E-07.05750.064 9722.45200.650.000000                                                el  79      135540314210 9 8 0   159.0  159.0
 2412999.4420002.350E-036 2.407E-10.09500.127    0.00000.690.000000                                                el   0      136650314210 9 8 0     6.0    6.0
 2312999.4440008.210E-040 2.794E-09.06650.078 3395.94700.750.000000                                                el  42      136550314210 9 8 0    85.0   85.0
 2112999.4440001.190E-053 1.852E-04.06420.07113576.90300.710.000000                                                el  54      135540314210 9 8 0   109.0  109.0
 2212999.4450002.220E-039 5.265E-10.07700.105 2944.37400.670.000000                                                el  11      136650314210 9 8 0    46.0   46.0
 2212999.4470006.410E-040 2.872E-09.06750.083 3780.86500.760.000000                                                el  35      136650314210 9 8 0   142.0  142.0
 2212999.4480002.400E-045 1.122E-07.06790.085 7093.65100.750.000000                                                el  33      136650314210 9 8 0   134.0  134.0
 2112999.4490001.270E-043 6.445E-15.07700.105 3552.20200.670.000000                                                el  11      136650314210 9 8 0    23.0   23.0
 2312999.4500007.320E-042 5.872E-12.07870.108 2790.39100.670.000000                                                el   9      136650314210 9 8 0    19.0   19.0
 2112999.4500004.640E-036 1.675E-11.06320.070 1914.87900.710.000000                                                el  56      135540314210 9 8 0   113.0  113.0
